time	UnixTime	FPS	HeadPos	HeadRot	Valid	GazeOrigin	GazeDir	Conf	FixPoint	LBlink	RBlink	LPupil	RPupil	LOrigin	LDir	ROrigin	RDir	HitPos	HitName	
2.305541	1763568710.232	72.174561	-257.716484,172.811406,168.397659	0.015254,0.057538,-0.198429,0.978306	T	-257.716484,172.811406,168.397659	0.930033,-0.27009,-0.249176	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.703141,105.430099,106.233685	StaticMeshActor_1	
2.3196	1763568710.246	72.701897	-257.723441,172.799197,168.382706	0.014601,0.058598,-0.198996,0.978138	T	-257.723441,172.799199,168.382706	0.929151,-0.271314,-0.251131	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.913561,105.10779,105.72674	StaticMeshActor_1	
2.33358	1763568710.259	70.311111	-257.724702,172.796879,168.371597	0.014287,0.059372,-0.199417,0.97801	T	-257.724703,172.796879,168.371597	0.929474,-0.269692,-0.251684	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.722713,105.477787,105.547249	StaticMeshActor_1	
2.347324	1763568710.273	72.132378	-257.721183,172.801867,168.368347	0.013887,0.060132,-0.199677,0.977916	T	-257.721183,172.801867,168.368347	0.928925,-0.270262,-0.253094	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.855865,105.340388,105.192199	StaticMeshActor_1	
2.361713	1763568710.288	73.037483	-257.708306,172.818712,168.379776	0.013503,0.060083,-0.199718,0.977916	T	-257.708306,172.81871,168.379776	0.928691,-0.271972,-0.25212	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-26.011089,104.962414,105.476365	StaticMeshActor_1	
2.375288	1763568710.301	69.433357	-257.693972,172.838504,168.39653	0.012593,0.059622,-0.199329,0.978036	T	-257.692219,172.841444,168.398499	0.92915,-0.271368,-0.251076	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.89459,105.14017,105.759518	StaticMeshActor_1	
2.389134	1763568710.316	73.672432	-257.680491,172.857741,168.401077	0.011213,0.060122,-0.198442,0.978203	T	-257.680491,172.857741,168.401077	0.930371,-0.267862,-0.25032	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.323102,105.957589,105.881934	StaticMeshActor_1	
2.403172	1763568710.329	71.164246	-257.670566,172.877374,168.400986	0.010316,0.060841,-0.197748,0.978309	T	-257.670566,172.877374,168.400986	0.930343,-0.266793,-0.251562	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.160224,106.19841,105.528488	StaticMeshActor_1	
2.416653	1763568710.343	72.392952	-257.643833,172.903767,168.413406	0.01044,0.059819,-0.197812,0.978357	T	-257.643834,172.903765,168.413406	0.930819,-0.266968,-0.249607	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.113589,106.209267,106.056032	StaticMeshActor_1	
2.430217	1763568710.356	73.033211	-257.609522,172.929554,168.432083	0.010212,0.05892,-0.197699,0.978437	T	-257.609521,172.929554,168.432083	0.93134,-0.268229,-0.246289	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.213873,105.996304,106.973562	StaticMeshActor_1	
2.444203	1763568710.371	73.560791	-257.573527,172.95442,168.446457	0.009431,0.058082,-0.197481,0.978539	T	-257.573527,172.954418,168.446457	0.931816,-0.268177,-0.24454	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.133392,106.055711,107.443782	StaticMeshActor_1	
2.458031	1763568710.385	72.191742	-257.55232,172.978603,168.444733	0.008399,0.058956,-0.1968,0.978633	T	-257.552319,172.978603,168.444733	0.931705,-0.267165,-0.246065	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.982905,106.287192,107.020307	StaticMeshActor_1	
2.471991	1763568710.399	71.424492	-257.541265,173.008757,168.428528	0.007574,0.0607,-0.195846,0.978725	T	-257.541264,173.008757,168.428528	0.931327,-0.265477,-0.249305	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.762773,106.652293,106.11412	StaticMeshActor_1	
2.48614	1763568710.413	72.202164	-257.534226,173.039067,168.416824	0.006856,0.06178,-0.194937,0.978844	T	-257.534227,173.039066,168.416824	0.931245,-0.263898,-0.251278	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.526903,107.006624,105.541966	StaticMeshActor_1	
